2023-05-16 13:39:57 status unpacked tini:arm64 0.19.0-1
2023-05-16 13:39:57 status half-configured tini:arm64 0.19.0-1
2023-05-16 13:39:57 status installed tini:arm64 0.19.0-1
2023-05-16 13:39:57 configure fonts-dejavu-core:all 2.37-2 <none>
2023-05-16 13:39:57 status unpacked fonts-dejavu-core:all 2.37-2
2023-05-16 13:39:57 status half-configured fonts-dejavu-core:all 2.37-2
2023-05-16 13:39:57 status installed fonts-dejavu-core:all 2.37-2
2023-05-16 13:39:57 configure libncursesw6:arm64 6.2+20201114-2+deb11u1 <none>
2023-05-16 13:39:57 status unpacked libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:39:57 status half-configured libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:39:57 status installed libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:39:57 configure libsasl2-2:arm64 2.1.27+dfsg-2.1+deb11u1 <none>
2023-05-16 13:39:57 status unpacked libsasl2-2:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:39:57 status half-configured libsasl2-2:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:39:58 status installed libsasl2-2:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:39:58 configure libmd0:arm64 1.0.3-3 <none>
2023-05-16 13:39:58 status unpacked libmd0:arm64 1.0.3-3
2023-05-16 13:39:58 status half-configured libmd0:arm64 1.0.3-3
2023-05-16 13:39:58 status installed libmd0:arm64 1.0.3-3
2023-05-16 13:39:58 configure sensible-utils:all 0.0.14 <none>
2023-05-16 13:39:58 status unpacked sensible-utils:all 0.0.14
2023-05-16 13:39:58 status half-configured sensible-utils:all 0.0.14
2023-05-16 13:39:58 status installed sensible-utils:all 0.0.14
2023-05-16 13:39:58 configure git-man:all 1:2.30.2-1+deb11u2 <none>
2023-05-16 13:39:58 status unpacked git-man:all 1:2.30.2-1+deb11u2
2023-05-16 13:39:58 status half-configured git-man:all 1:2.30.2-1+deb11u2
2023-05-16 13:39:58 status installed git-man:all 1:2.30.2-1+deb11u2
2023-05-16 13:39:58 configure libssh2-1:arm64 1.9.0-2 <none>
2023-05-16 13:39:58 status unpacked libssh2-1:arm64 1.9.0-2
2023-05-16 13:39:58 status half-configured libssh2-1:arm64 1.9.0-2
2023-05-16 13:39:58 status installed libssh2-1:arm64 1.9.0-2
2023-05-16 13:39:58 configure libfido2-1:arm64 1.6.0-2 <none>
2023-05-16 13:39:58 status unpacked libfido2-1:arm64 1.6.0-2
2023-05-16 13:39:58 status half-configured libfido2-1:arm64 1.6.0-2
2023-05-16 13:39:58 status installed libfido2-1:arm64 1.6.0-2
2023-05-16 13:39:58 configure openssl:arm64 1.1.1n-0+deb11u4 <none>
2023-05-16 13:39:58 status unpacked openssl:arm64 1.1.1n-0+deb11u4
2023-05-16 13:39:58 status half-configured openssl:arm64 1.1.1n-0+deb11u4
2023-05-16 13:39:58 status installed openssl:arm64 1.1.1n-0+deb11u4
2023-05-16 13:39:58 configure libbsd0:arm64 0.11.3-1 <none>
2023-05-16 13:39:58 status unpacked libbsd0:arm64 0.11.3-1
2023-05-16 13:39:58 status half-configured libbsd0:arm64 0.11.3-1
2023-05-16 13:39:58 status installed libbsd0:arm64 0.11.3-1
2023-05-16 13:39:58 configure readline-common:all 8.1-1 <none>
2023-05-16 13:39:58 status unpacked readline-common:all 8.1-1
2023-05-16 13:39:58 status half-configured readline-common:all 8.1-1
2023-05-16 13:39:59 status installed readline-common:all 8.1-1
2023-05-16 13:39:59 configure libprocps8:arm64 2:3.3.17-5 <none>
2023-05-16 13:39:59 status unpacked libprocps8:arm64 2:3.3.17-5
2023-05-16 13:39:59 status half-configured libprocps8:arm64 2:3.3.17-5
2023-05-16 13:39:59 status installed libprocps8:arm64 2:3.3.17-5
2023-05-16 13:39:59 configure libgdbm6:arm64 1.19-2 <none>
2023-05-16 13:39:59 status unpacked libgdbm6:arm64 1.19-2
2023-05-16 13:39:59 status half-configured libgdbm6:arm64 1.19-2
2023-05-16 13:39:59 status installed libgdbm6:arm64 1.19-2
2023-05-16 13:39:59 configure pinentry-curses:arm64 1.1.0-4 <none>
2023-05-16 13:39:59 status unpacked pinentry-curses:arm64 1.1.0-4
2023-05-16 13:39:59 status half-configured pinentry-curses:arm64 1.1.0-4
2023-05-16 13:39:59 status installed pinentry-curses:arm64 1.1.0-4
2023-05-16 13:39:59 configure libedit2:arm64 3.1-20191231-2+b1 <none>
2023-05-16 13:39:59 status unpacked libedit2:arm64 3.1-20191231-2+b1
2023-05-16 13:39:59 status half-configured libedit2:arm64 3.1-20191231-2+b1
2023-05-16 13:39:59 status installed libedit2:arm64 3.1-20191231-2+b1
2023-05-16 13:39:59 configure libreadline8:arm64 8.1-1 <none>
2023-05-16 13:39:59 status unpacked libreadline8:arm64 8.1-1
2023-05-16 13:39:59 status half-configured libreadline8:arm64 8.1-1
2023-05-16 13:39:59 status installed libreadline8:arm64 8.1-1
2023-05-16 13:39:59 configure libldap-2.4-2:arm64 2.4.57+dfsg-3+deb11u1 <none>
2023-05-16 13:39:59 status unpacked libldap-2.4-2:arm64 2.4.57+dfsg-3+deb11u1
2023-05-16 13:39:59 status half-configured libldap-2.4-2:arm64 2.4.57+dfsg-3+deb11u1
2023-05-16 13:39:59 status installed libldap-2.4-2:arm64 2.4.57+dfsg-3+deb11u1
2023-05-16 13:39:59 configure libcurl3-gnutls:arm64 7.74.0-1.3+deb11u7 <none>
2023-05-16 13:39:59 status unpacked libcurl3-gnutls:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:39:59 status half-configured libcurl3-gnutls:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:39:59 status installed libcurl3-gnutls:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:39:59 configure ca-certificates:all 20210119 <none>
2023-05-16 13:39:59 status unpacked ca-certificates:all 20210119
2023-05-16 13:39:59 status half-configured ca-certificates:all 20210119
2023-05-16 13:41:06 status installed ca-certificates:all 20210119
2023-05-16 13:41:06 status triggers-pending ca-certificates:all 20210119
2023-05-16 13:41:06 configure libfreetype6:arm64 2.10.4+dfsg-1+deb11u1 <none>
2023-05-16 13:41:06 status unpacked libfreetype6:arm64 2.10.4+dfsg-1+deb11u1
2023-05-16 13:41:06 status half-configured libfreetype6:arm64 2.10.4+dfsg-1+deb11u1
2023-05-16 13:41:06 status installed libfreetype6:arm64 2.10.4+dfsg-1+deb11u1
2023-05-16 13:41:06 configure libgdbm-compat4:arm64 1.19-2 <none>
2023-05-16 13:41:06 status unpacked libgdbm-compat4:arm64 1.19-2
2023-05-16 13:41:06 status half-configured libgdbm-compat4:arm64 1.19-2
2023-05-16 13:41:06 status installed libgdbm-compat4:arm64 1.19-2
2023-05-16 13:41:06 configure ucf:all 3.0043 <none>
2023-05-16 13:41:06 status unpacked ucf:all 3.0043
2023-05-16 13:41:06 status half-configured ucf:all 3.0043
2023-05-16 13:41:11 status installed ucf:all 3.0043
2023-05-16 13:41:12 configure libperl5.32:arm64 5.32.1-4+deb11u2 <none>
2023-05-16 13:41:12 status unpacked libperl5.32:arm64 5.32.1-4+deb11u2
2023-05-16 13:41:12 status half-configured libperl5.32:arm64 5.32.1-4+deb11u2
2023-05-16 13:41:12 status installed libperl5.32:arm64 5.32.1-4+deb11u2
2023-05-16 13:41:12 configure procps:arm64 2:3.3.17-5 <none>
2023-05-16 13:41:12 status unpacked procps:arm64 2:3.3.17-5
2023-05-16 13:41:12 status half-configured procps:arm64 2:3.3.17-5
2023-05-16 13:41:13 status installed procps:arm64 2:3.3.17-5
2023-05-16 13:41:13 configure gpgconf:arm64 2.2.27-2+deb11u2 <none>
2023-05-16 13:41:13 status unpacked gpgconf:arm64 2.2.27-2+deb11u2
2023-05-16 13:41:13 status half-configured gpgconf:arm64 2.2.27-2+deb11u2
2023-05-16 13:41:13 status installed gpgconf:arm64 2.2.27-2+deb11u2
2023-05-16 13:41:13 configure libcurl4:arm64 7.74.0-1.3+deb11u7 <none>
2023-05-16 13:41:13 status unpacked libcurl4:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:41:13 status half-configured libcurl4:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:41:13 status installed libcurl4:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:41:13 configure curl:arm64 7.74.0-1.3+deb11u7 <none>
2023-05-16 13:41:13 status unpacked curl:arm64 7.74.0-1.3+deb11u7
